Vendor County Code,Vendor County,Obligation Year and Month, Number of Families Redeemed Food Benefits , Number of Food Instruments Redeemed , Dollar Amount Redeemed for Food Instruments , Number of WIC Card Transactions Processed , Dollar Amount Reimbursed for WIC Card Transactions , Average Cost per Family , Statewide Infant Formula Rebate , Total Cost Adjusted , Average Cost Adjusted 
13,Imperial,202007,"3,529",,,"9,291","$343,573.35 ",$97.36 ,,,
13,Imperial,202008,"3,450",,,"9,102","$330,667.77 ",$95.85 ,,,
13,Imperial,202009,"3,507",,,"9,098","$336,500.18 ",$95.95 ,,,
13,Imperial,202010,"3,529",,,"9,469","$339,426.78 ",$96.18 ,,,
13,Imperial,202011,"3,554",,,"9,566","$339,766.44 ",$95.60 ,,,
13,Imperial,202012,"3,532",,,"9,572","$341,629.06 ",$96.72 ,,,
14,Inyo,2020,391,10,$297.66 ,"6,533","$204,099.43 ",$522.75 ,,,
14,Inyo,202001,213,5,$93.72 ,668,"$20,344.94 ",$95.96 ,,,
14,Inyo,202002,216,5,$203.94 ,604,"$19,332.14 ",$90.44 ,,,
14,Inyo,202003,218,,,611,"$20,620.11 ",$94.59 ,,,
14,Inyo,202004,220,,,580,"$19,343.63 ",$87.93 ,,,
14,Inyo,202005,194,,,511,"$16,698.84 ",$86.08 ,,,
14,Inyo,202006,200,,,464,"$15,523.29 ",$77.62 ,,,
14,Inyo,202007,200,,,536,"$15,255.84 ",$76.28 ,,,
14,Inyo,202008,189,,,511,"$15,154.25 ",$80.18 ,,,
14,Inyo,202009,187,,,495,"$15,515.65 ",$82.97 ,,,
14,Inyo,202010,195,,,556,"$15,811.07 ",$81.08 ,,,
14,Inyo,202011,181,,,500,"$15,226.78 ",$84.13 ,,,
14,Inyo,202012,183,,,497,"$15,272.89 ",$83.46 ,,,
15,Kern,2020,"62,679","289,755","$6,125,245.19 ","614,248","$25,698,877.54 ",$507.73 ,,,
15,Kern,202001,"25,656","129,963","$2,775,419.06 ",208,"$6,139.96 ",$108.42 ,,,
15,Kern,202002,"24,423","102,520","$2,173,723.47 ","12,990","$477,297.09 ",$108.55 ,,,
15,Kern,202003,"23,886","47,419","$971,998.69 ","42,822","$1,724,676.19 ",$112.90 ,,,
15,Kern,202004,"23,736","9,845","$203,794.39 ","55,128","$2,418,725.23 ",$110.49 ,,,
15,Kern,202005,"24,434",8,$309.58 ,"60,980","$2,616,637.19 ",$107.10 ,,,
15,Kern,202006,"24,824",,,"61,616","$2,630,828.88 ",$105.98 ,,,
15,Kern,202007,"25,323",,,"63,687","$2,671,537.24 ",$105.50 ,,,
15,Kern,202008,"25,282",,,"63,147","$2,647,959.18 ",$104.74 ,,,
15,Kern,202009,"25,144",,,"62,118","$2,623,898.39 ",$104.35 ,,,
15,Kern,202010,"25,346",,,"64,478","$2,631,493.90 ",$103.82 ,,,
15,Kern,202011,"25,300",,,"63,672","$2,623,950.78 ",$103.71 ,,,
15,Kern,202012,"25,246",,,"63,402","$2,625,733.51 ",$104.01 ,,,
16,Kings,2020,"11,194","47,469","$980,096.17 ","107,661","$4,068,784.16 ",$451.03 ,,,
16,Kings,202001,"4,144","20,653","$423,716.42 ",11,$306.73 ,$102.32 ,,,
16,Kings,202002,"3,833","16,341","$345,273.92 ","1,665","$51,144.64 ",$103.42 ,,,
16,Kings,202003,"3,831","8,229","$166,459.71 ","6,495","$234,584.74 ",$104.68 ,,,
16,Kings,202004,"3,975","2,201","$43,648.93 ","9,337","$366,583.47 ",$103.20 ,,,
16,Kings,202005,"4,111",45,$997.19 ,"10,375","$411,998.72 ",$100.46 ,,,
16,Kings,202006,"4,210",,,"10,907","$412,325.59 ",$97.94 ,,,
16,Kings,202007,"4,355",,,"11,395","$429,645.54 ",$98.66 ,,,
16,Kings,202008,"4,367",,,"11,554","$426,577.62 ",$97.68 ,,,
16,Kings,202009,"4,414",,,"11,330","$429,693.68 ",$97.35 ,,,
16,Kings,202010,"4,431",,,"11,575","$438,383.93 ",$98.94 ,,,
16,Kings,202011,"4,448",,,"11,597","$435,797.88 ",$97.98 ,,,
16,Kings,202012,"4,426",,,"11,420","$431,741.62 ",$97.55 ,,,
17,Lake,2020,"2,022",7,$119.34 ,"40,235","$1,327,819.61 ",$656.75 ,,,
17,Lake,202001,"1,221",7,$119.34 ,"4,118","$116,516.12 ",$95.52 ,,,
17,Lake,202002,"1,163",,,"3,707","$108,720.80 ",$93.48 ,,,
17,Lake,202003,"1,239",,,"3,691","$115,989.18 ",$93.62 ,,,
17,Lake,202004,"1,234",,,"3,337","$114,045.35 ",$92.42 ,,,
17,Lake,202005,"1,285",,,"3,315","$116,170.14 ",$90.40 ,,,
17,Lake,202006,"1,251",,,"3,198","$110,977.13 ",$88.71 ,,,
17,Lake,202007,"1,219",,,"3,203","$108,067.61 ",$88.65 ,,,
17,Lake,202008,"1,165",,,"2,971","$104,297.58 ",$89.53 ,,,
17,Lake,202009,"1,212",,,"3,146","$107,367.88 ",$88.59 ,,,
17,Lake,202010,"1,235",,,"3,156","$107,740.93 ",$87.24 ,,,
17,Lake,202011,"1,250",,,"3,198","$109,183.57 ",$87.35 ,,,
17,Lake,202012,"1,215",,,"3,195","$108,743.32 ",$89.50 ,,,
18,Lassen,2020,676,"4,271","$91,789.27 ","4,935","$178,628.81 ",$400.03 ,,,
18,Lassen,202001,243,"1,294","$27,106.77 ",17,$414.37 ,$113.26 ,,,
18,Lassen,202002,225,"1,142","$24,931.32 ",18,$763.62 ,$114.20 ,,,
18,Lassen,202003,213,"1,002","$21,811.02 ",50,"$1,639.82 ",$110.10 ,,,
18,Lassen,202004,206,570,"$12,144.05 ",286,"$9,362.27 ",$104.40 ,,,
18,Lassen,202005,195,263,"$5,796.11 ",423,"$15,012.44 ",$106.71 ,,,
18,Lassen,202006,190,,,542,"$19,867.71 ",$104.57 ,,,
18,Lassen,202007,205,,,564,"$20,122.91 ",$98.16 ,,,
18,Lassen,202008,208,,,584,"$21,244.79 ",$102.14 ,,,
18,Lassen,202009,230,,,616,"$23,404.38 ",$101.76 ,,,
18,Lassen,202010,230,,,602,"$22,464.72 ",$97.67 ,,,
18,Lassen,202011,235,,,632,"$22,161.70 ",$94.31 ,,,
18,Lassen,202012,224,,,601,"$22,170.08 ",$98.97 ,,,
19,Los Angeles,2020,"314,156","578,812","$11,687,492.73 ","4,807,189","$183,332,879.88 ",$620.78 ,,,
19,Los Angeles,202001,"152,699","375,722","$7,688,373.84 ","242,175","$8,064,409.19 ",$103.16 ,,,
19,Los Angeles,202002,"148,816","156,192","$3,093,878.69 ","362,190","$12,378,147.83 ",$103.97 ,,,
19,Los Angeles,202003,"155,253","44,449","$847,834.83 ","423,029","$15,639,828.97 ",$106.20 ,,,
19,Los Angeles,202004,"162,027","1,828","$43,011.83 ","413,345","$16,733,930.00 ",$103.54 ,,,
19,Los Angeles,202005,"163,995",621,"$14,393.54 ","416,648","$16,505,410.29 ",$100.73 ,,,
19,Los Angeles,202006,"165,302",,,"415,787","$16,510,690.21 ",$99.88 ,,,
19,Los Angeles,202007,"167,457",,,"427,766","$16,633,799.04 ",$99.33 ,,,
19,Los Angeles,202008,"167,390",,,"428,030","$16,464,919.64 ",$98.36 ,,,
19,Los Angeles,202009,"166,014",,,"421,032","$16,224,497.75 ",$97.73 ,,,
19,Los Angeles,202010,"166,031",,,"426,360","$16,182,719.32 ",$97.47 ,,,
19,Los Angeles,202011,"164,647",,,"415,822","$15,993,247.77 ",$97.14 ,,,
19,Los Angeles,202012,"164,461",,,"415,005","$16,001,279.87 ",$97.30 ,,,
20,Madera,2020,"12,043","69,911","$1,366,085.43 ","85,703","$4,101,571.86 ",$454.01 ,,,
20,Madera,202001,"4,759","24,005","$469,527.80 ",18,$319.61 ,$98.73 ,,,
20,Madera,202002,"4,608","23,482","$460,490.23 ",24,$628.20 ,$100.07 ,,,
20,Madera,202003,"4,239","14,559","$285,827.00 ","3,377","$155,070.67 ",$104.01 ,,,
20,Madera,202004,"4,243","6,865","$130,106.92 ","6,127","$314,672.43 ",$104.83 ,,,
20,Madera,202005,"4,159","1,000","$20,133.48 ","8,382","$418,138.39 ",$105.38 ,,,
20,Madera,202006,"4,317",,,"9,256","$447,935.95 ",$103.76 ,,,
20,Madera,202007,"4,375",,,"9,690","$455,956.43 ",$104.22 ,,,
20,Madera,202008,"4,379",,,"9,722","$453,698.79 ",$103.61 ,,,
20,Madera,202009,"4,349",,,"9,503","$458,326.53 ",$105.39 ,,,
20,Madera,202010,"4,375",,,"9,789","$461,308.42 ",$105.44 ,,,
20,Madera,202011,"4,400",,,"9,787","$458,638.21 ",$104.24 ,,,
20,Madera,202012,"4,509",,,"10,028","$476,878.23 ",$105.76 ,,,
21,Marin,2020,"2,310",6,$196.51 ,"37,789","$1,387,544.83 ",$600.75 ,,,
21,Marin,202001,"1,312",,,"3,339","$115,634.53 ",$88.14 ,,,
21,Marin,202002,"1,291",6,$196.51 ,"3,162","$109,370.55 ",$84.87 ,,,
21,Marin,202003,"1,360",,,"3,194","$117,886.85 ",$86.68 ,,,
21,Marin,202004,"1,412",,,"3,101","$121,457.44 ",$86.02 ,,,
21,Marin,202005,"1,396",,,"3,108","$115,155.00 ",$82.49 ,,,
21,Marin,202006,"1,397",,,"2,997","$115,915.24 ",$82.97 ,,,
21,Marin,202007,"1,415",,,"3,092","$117,643.18 ",$83.14 ,,,
21,Marin,202008,"1,385",,,"3,106","$112,256.90 ",$81.05 ,,,
21,Marin,202009,"1,412",,,"3,091","$113,876.28 ",$80.65 ,,,
21,Marin,202010,"1,435",,,"3,151","$115,428.71 ",$80.44 ,,,
21,Marin,202011,"1,454",,,"3,271","$114,894.44 ",$79.02 ,,,
21,Marin,202012,"1,441",,,"3,177","$118,025.71 ",$81.91 ,,,
22,Mariposa,2020,249,953,"$20,719.27 ","1,572","$49,387.12 ",$281.55 ,,,
22,Mariposa,202001,80,395,"$8,434.77 ",,,$105.43 ,,,
22,Mariposa,202002,82,373,"$8,231.04 ",,,$100.38 ,,,
22,Mariposa,202003,67,131,"$3,008.58 ",64,"$2,207.53 ",$77.85 ,,,
22,Mariposa,202004,72,51,"$1,009.62 ",130,"$4,396.64 ",$75.09 ,,,
22,Mariposa,202005,60,3,$35.26 ,137,"$4,221.47 ",$70.95 ,,,
22,Mariposa,202006,72,,,162,"$5,680.09 ",$78.89 ,,,
22,Mariposa,202007,79,,,170,"$5,101.35 ",$64.57 ,,,
22,Mariposa,202008,82,,,188,"$5,841.47 ",$71.24 ,,,
22,Mariposa,202009,70,,,170,"$5,580.70 ",$79.72 ,,,
22,Mariposa,202010,81,,,194,"$6,082.88 ",$75.10 ,,,
22,Mariposa,202011,75,,,186,"$5,310.56 ",$70.81 ,,,
22,Mariposa,202012,73,,,171,"$4,964.43 ",$68.01 ,,,
23,Mendocino,2020,"2,185",44,$572.72 ,"39,507","$1,210,794.85 ",$554.40 ,,,
23,Mendocino,202001,"1,195",9,$115.29 ,"3,852","$106,223.35 ",$88.99 ,,,
23,Mendocino,202002,"1,122",4,$50.18 ,"3,553","$100,321.68 ",$89.46 ,,,
23,Mendocino,202003,"1,184",19,$239.68 ,"3,485","$100,521.18 ",$85.10 ,,,
23,Mendocino,202004,"1,246",12,$167.57 ,"3,252","$103,125.45 ",$82.90 ,,,
23,Mendocino,202005,"1,192",,,"3,106","$98,505.53 ",$82.64 ,,,
23,Mendocino,202006,"1,243",,,"3,175","$99,341.89 ",$79.92 ,,,
23,Mendocino,202007,"1,237",,,"3,224","$103,287.42 ",$83.50 ,,,
23,Mendocino,202008,"1,222",,,"3,232","$102,122.45 ",$83.57 ,,,
23,Mendocino,202009,"1,249",,,"3,165","$100,175.55 ",$80.20 ,,,
23,Mendocino,202010,"1,255",,,"3,177","$99,976.17 ",$79.66 ,,,
23,Mendocino,202011,"1,259",,,"3,181","$99,639.83 ",$79.14 ,,,
23,Mendocino,202012,"1,232",,,"3,105","$97,554.35 ",$79.18 ,,,
24,Merced,2020,"21,282","114,640","$2,241,263.94 ","176,907","$7,062,848.30 ",$437.18 ,,,
24,Merced,202001,"8,332","41,963","$809,112.01 ",94,"$3,083.52 ",$97.48 ,,,
24,Merced,202002,"7,977","40,191","$781,539.87 ",120,"$4,436.87 ",$98.53 ,,,
24,Merced,202003,"7,240","23,103","$463,920.80 ","6,655","$273,029.76 ",$101.79 ,,,
24,Merced,202004,"7,262","8,162","$163,136.85 ","13,283","$579,566.54 ",$102.27 ,,,
24,Merced,202005,"7,667","1,221","$23,554.41 ","17,717","$729,088.25 ",$98.17 ,,,
24,Merced,202006,"7,920",,,"19,154","$763,172.01 ",$96.36 ,,,
24,Merced,202007,"8,127",,,"20,138","$784,901.33 ",$96.58 ,,,
24,Merced,202008,"8,200",,,"20,098","$781,758.34 ",$95.34 ,,,
24,Merced,202009,"8,081",,,"19,367","$771,734.92 ",$95.50 ,,,
24,Merced,202010,"8,203",,,"20,188","$785,062.16 ",$95.70 ,,,
24,Merced,202011,"8,298",,,"20,167","$795,549.53 ",$95.87 ,,,
24,Merced,202012,"8,272",,,"19,926","$791,465.07 ",$95.68 ,,,
25,Modoc,2020,207,"1,327","$31,174.52 ","1,551","$53,024.43 ",$406.76 ,,,
25,Modoc,202001,67,363,"$8,850.43 ",10,$263.55 ,$136.03 ,,,
25,Modoc,202002,74,368,"$8,947.02 ",4,$82.39 ,$122.02 ,,,
25,Modoc,202003,72,361,"$8,427.74 ",5,$178.89 ,$119.54 ,,,
25,Modoc,202004,67,177,"$3,908.64 ",80,"$3,944.09 ",$117.20 ,,,
25,Modoc,202005,63,58,"$1,040.69 ",166,"$5,602.09 ",$105.44 ,,,
25,Modoc,202006,64,,,162,"$7,175.82 ",$112.12 ,,,
25,Modoc,202007,61,,,177,"$5,895.99 ",$96.66 ,,,
25,Modoc,202008,70,,,185,"$6,304.61 ",$90.07 ,,,
25,Modoc,202009,67,,,191,"$5,952.21 ",$88.84 ,,,
25,Modoc,202010,73,,,195,"$6,321.83 ",$86.60 ,,,
25,Modoc,202011,67,,,185,"$5,343.14 ",$79.75 ,,,
25,Modoc,202012,71,,,191,"$5,959.82 ",$83.94 ,,,
26,Mono,2020,188,1,$8.98 ,"2,118","$83,300.33 ",$443.13 ,,,
26,Mono,202001,76,1,$8.98 ,193,"$8,330.19 ",$109.73 ,,,
26,Mono,202002,71,,,170,"$7,677.19 ",$108.13 ,,,
26,Mono,202003,72,,,181,"$7,948.31 ",$110.39 ,,,
26,Mono,202004,76,,,203,"$7,258.89 ",$95.51 ,,,
26,Mono,202005,67,,,195,"$6,465.36 ",$96.50 ,,,
26,Mono,202006,90,,,220,"$7,680.56 ",$85.34 ,,,
26,Mono,202007,90,,,198,"$7,054.09 ",$78.38 ,,,
26,Mono,202008,68,,,155,"$7,246.30 ",$106.56 ,,,
26,Mono,202009,58,,,147,"$5,768.19 ",$99.45 ,,,
26,Mono,202010,65,,,158,"$6,170.51 ",$94.93 ,,,
26,Mono,202011,64,,,138,"$4,997.60 ",$78.09 ,,,
26,Mono,202012,74,,,160,"$6,703.14 ",$90.58 ,,,
27,Monterey,2020,"22,813","111,173","$2,137,549.02 ","173,364","$8,435,360.83 ",$463.46 ,,,
27,Monterey,202001,"9,591","47,845","$925,393.46 ",34,"$1,200.87 ",$96.61 ,,,
27,Monterey,202002,"9,068","38,382","$737,778.29 ","3,561","$144,812.31 ",$97.33 ,,,
27,Monterey,202003,"8,497","19,256","$365,678.94 ","10,791","$501,182.63 ",$102.02 ,,,
27,Monterey,202004,"8,252","5,673","$108,287.67 ","15,309","$758,506.83 ",$105.04 ,,,
27,Monterey,202005,"8,209",17,$410.66 ,"17,560","$857,928.86 ",$104.56 ,,,
27,Monterey,202006,"8,273",,,"17,569","$864,465.00 ",$104.49 ,,,
27,Monterey,202007,"8,365",,,"17,852","$876,305.45 ",$104.76 ,,,
27,Monterey,202008,"8,543",,,"18,229","$888,622.03 ",$104.02 ,,,
27,Monterey,202009,"8,544",,,"18,000","$888,641.90 ",$104.01 ,,,
27,Monterey,202010,"8,687",,,"18,425","$890,640.82 ",$102.53 ,,,
27,Monterey,202011,"8,535",,,"17,932","$881,958.25 ",$103.33 ,,,
27,Monterey,202012,"8,553",,,"18,102","$881,095.88 ",$103.02 ,,,
28,Napa,2020,"2,915",17,$403.89 ,"43,483","$1,310,172.45 ",$449.60 ,,,
28,Napa,202001,"1,279",8,$127.57 ,"3,941","$107,769.58 ",$84.36 ,,,
28,Napa,202002,"1,314",6,$70.76 ,"3,874","$107,194.09 ",$81.63 ,,,
28,Napa,202003,"1,319",3,$205.56 ,"3,819","$107,200.10 ",$81.43 ,,,
28,Napa,202004,"1,390",,,"3,713","$112,317.98 ",$80.80 ,,,
28,Napa,202005,"1,394",,,"3,623","$108,867.03 ",$78.10 ,,,
28,Napa,202006,"1,411",,,"3,533","$108,765.48 ",$77.08 ,,,
28,Napa,202007,"1,401",,,"3,670","$111,234.05 ",$79.40 ,,,
28,Napa,202008,"1,410",,,"3,649","$113,391.37 ",$80.42 ,,,
28,Napa,202009,"1,351",,,"3,435","$108,138.43 ",$80.04 ,,,
28,Napa,202010,"1,367",,,"3,548","$108,567.22 ",$79.42 ,,,
28,Napa,202011,"1,354",,,"3,389","$108,069.98 ",$79.82 ,,,
28,Napa,202012,"1,346",,,"3,289","$108,657.14 ",$80.73 ,,,
29,Nevada,2020,"1,017",8,$186.06 ,"15,198","$454,819.01 ",$447.40 ,,,
29,Nevada,202001,527,,,"1,566","$44,949.51 ",$85.29 ,,,
29,Nevada,202002,487,,,"1,346","$39,876.92 ",$81.88 ,,,
29,Nevada,202003,529,4,$55.25 ,"1,439","$43,414.44 ",$82.17 ,,,
29,Nevada,202004,524,4,$130.81 ,"1,274","$41,982.24 ",$80.37 ,,,
29,Nevada,202005,526,,,"1,257","$38,930.40 ",$74.01 ,,,
29,Nevada,202006,519,,,"1,159","$36,905.31 ",$71.11 ,,,
29,Nevada,202007,493,,,"1,192","$35,551.84 ",$72.11 ,,,
29,Nevada,202008,515,,,"1,225","$35,359.27 ",$68.66 ,,,
29,Nevada,202009,482,,,"1,187","$34,395.55 ",$71.36 ,,,
29,Nevada,202010,495,,,"1,213","$35,022.87 ",$70.75 ,,,
29,Nevada,202011,484,,,"1,164","$34,929.37 ",$72.17 ,,,
29,Nevada,202012,480,,,"1,176","$33,501.29 ",$69.79 ,,,
30,Orange,2020,"57,674","15,041","$351,991.23 ","1,103,099","$43,476,755.08 ",$759.94 ,,,
30,Orange,202001,"31,570","12,237","$272,047.28 ","91,718","$3,233,372.44 ",$111.04 ,,,
30,Orange,202002,"31,682","1,327","$36,024.30 ","96,089","$3,444,462.16 ",$109.86 ,,,
30,Orange,202003,"33,608",891,"$26,204.94 ","96,595","$3,714,666.01 ",$111.31 ,,,
30,Orange,202004,"34,682",421,"$12,676.36 ","90,618","$3,782,714.54 ",$109.43 ,,,
30,Orange,202005,"34,850",165,"$5,038.35 ","90,555","$3,729,473.85 ",$107.16 ,,,
30,Orange,202006,"34,917",,,"89,977","$3,695,578.56 ",$105.84 ,,,
30,Orange,202007,"35,046",,,"92,133","$3,685,356.46 ",$105.16 ,,,
30,Orange,202008,"35,232",,,"92,659","$3,674,860.55 ",$104.30 ,,,
30,Orange,202009,"34,853",,,"90,371","$3,628,530.53 ",$104.11 ,,,
30,Orange,202010,"34,819",,,"91,701","$3,605,804.81 ",$103.56 ,,,
30,Orange,202011,"34,869",,,"89,957","$3,628,414.34 ",$104.06 ,,,
30,Orange,202012,"35,009",,,"90,726","$3,653,520.83 ",$104.36 ,,,
31,Placer,2020,"4,987",60,"$1,769.86 ","55,772","$1,646,378.61 ",$330.49 ,,,
31,Placer,202001,"1,823",15,$435.61 ,"4,972","$138,042.35 ",$75.96 ,,,
31,Placer,202002,"1,794",14,$357.82 ,"4,727","$135,604.80 ",$75.79 ,,,
31,Placer,202003,"1,912",10,$416.18 ,"4,859","$139,339.87 ",$73.09 ,,,
31,Placer,202004,"1,932",17,$408.59 ,"4,498","$137,979.28 ",$71.63 ,,,
31,Placer,202005,"1,968",4,$151.66 ,"4,458","$134,867.19 ",$68.61 ,,,
31,Placer,202006,"1,973",,,"4,389","$134,613.98 ",$68.23 ,,,
31,Placer,202007,"1,989",,,"4,529","$136,951.74 ",$68.85 ,,,
31,Placer,202008,"1,997",,,"4,649","$140,497.06 ",$70.35 ,,,
31,Placer,202009,"1,989",,,"4,678","$136,605.74 ",$68.68 ,,,
31,Placer,202010,"2,007",,,"4,738","$138,032.47 ",$68.78 ,,,
31,Placer,202011,"1,994",,,"4,685","$137,581.06 ",$69.00 ,,,
31,Placer,202012,"2,020",,,"4,590","$136,263.07 ",$67.46 ,,,
32,Plumas,2020,352,222,"$3,556.59 ","5,678","$158,604.65 ",$460.69 ,,,
32,Plumas,202001,193,83,"$1,414.48 ",598,"$15,886.71 ",$89.64 ,,,
32,Plumas,202002,188,49,$735.02 ,531,"$15,822.64 ",$88.07 ,,,
32,Plumas,202003,179,62,"$1,034.38 ",489,"$14,059.60 ",$84.32 ,,,
32,Plumas,202004,166,14,$192.61 ,439,"$13,389.93 ",$81.82 ,,,
32,Plumas,202005,169,14,$180.10 ,392,"$12,223.71 ",$73.40 ,,,
32,Plumas,202006,165,,,479,"$13,104.14 ",$79.42 ,,,
32,Plumas,202007,164,,,420,"$12,247.71 ",$74.68 ,,,
32,Plumas,202008,171,,,469,"$12,638.58 ",$73.91 ,,,
32,Plumas,202009,175,,,471,"$13,296.95 ",$75.98 ,,,
32,Plumas,202010,165,,,464,"$12,059.41 ",$73.09 ,,,
32,Plumas,202011,167,,,451,"$11,984.01 ",$71.76 ,,,
32,Plumas,202012,163,,,475,"$11,891.26 ",$72.95 ,,,
33,Riverside,2020,"99,969","642,926","$13,424,730.22 ","753,470","$32,204,456.11 ",$456.43 ,,,
33,Riverside,202001,"37,431","185,497","$3,852,633.60 ","1,977","$64,178.38 ",$104.64 ,,,
33,Riverside,202002,"36,219","177,826","$3,712,285.65 ","2,708","$95,957.42 ",$105.14 ,,,
33,Riverside,202003,"34,910","165,356","$3,472,045.91 ","4,746","$179,715.77 ",$104.61 ,,,
33,Riverside,202004,"32,972","82,494","$1,728,369.35 ","36,963","$1,825,757.57 ",$107.79 ,,,
33,Riverside,202005,"33,908","31,753","$659,395.71 ","63,461","$2,915,864.59 ",$105.44 ,,,
33,Riverside,202006,"35,046",,,"81,903","$3,678,066.78 ",$104.95 ,,,
33,Riverside,202007,"37,172",,,"89,615","$3,854,117.74 ",$103.68 ,,,
33,Riverside,202008,"38,027",,,"92,740","$3,907,348.27 ",$102.75 ,,,
33,Riverside,202009,"38,659",,,"92,910","$3,913,606.21 ",$101.23 ,,,
33,Riverside,202010,"39,192",,,"95,850","$3,923,959.50 ",$100.12 ,,,
33,Riverside,202011,"39,299",,,"95,280","$3,909,285.35 ",$99.48 ,,,
33,Riverside,202012,"39,457",,,"95,317","$3,936,598.53 ",$99.77 ,,,
34,Sacramento,2020,"34,108","1,620","$35,015.15 ","627,438","$25,561,219.16 ",$750.45 ,,,
34,Sacramento,202001,"19,656",594,"$12,500.00 ","55,847","$2,087,434.14 ",$106.83 ,,,
34,Sacramento,202002,"19,193",544,"$11,687.02 ","52,463","$2,040,855.65 ",$106.94 ,,,
34,Sacramento,202003,"20,520",339,"$7,591.80 ","52,933","$2,192,230.76 ",$107.20 ,,,
34,Sacramento,202004,"21,284",125,"$2,874.58 ","50,646","$2,197,781.81 ",$103.39 ,,,
34,Sacramento,202005,"21,500",18,$361.75 ,"51,021","$2,161,530.53 ",$100.55 ,,,
34,Sacramento,202006,"21,670",,,"50,960","$2,138,002.12 ",$98.66 ,,,
34,Sacramento,202007,"21,936",,,"52,377","$2,145,810.32 ",$97.82 ,,,
34,Sacramento,202008,"22,005",,,"52,462","$2,136,708.14 ",$97.10 ,,,
34,Sacramento,202009,"21,951",,,"51,513","$2,116,210.97 ",$96.41 ,,,
34,Sacramento,202010,"22,091",,,"52,135","$2,122,656.15 ",$96.09 ,,,
34,Sacramento,202011,"22,106",,,"52,648","$2,112,961.52 ",$95.58 ,,,
34,Sacramento,202012,"22,201",,,"52,433","$2,109,037.05 ",$95.00 ,,,
35,San Benito,2020,"2,406","11,195","$236,806.20 ","23,823","$737,102.78 ",$404.78 ,,,
35,San Benito,202001,897,"3,965","$82,632.95 ",93,"$2,495.19 ",$94.90 ,,,
35,San Benito,202002,869,"3,921","$83,472.89 ",117,"$3,868.57 ",$100.51 ,,,
35,San Benito,202003,836,"2,259","$47,762.19 ","1,079","$32,104.80 ",$95.53 ,,,
35,San Benito,202004,849,916,"$19,842.82 ","1,830","$60,080.99 ",$94.14 ,,,
35,San Benito,202005,858,134,"$3,095.35 ","2,414","$73,626.09 ",$89.42 ,,,
35,San Benito,202006,899,,,"2,528","$78,240.50 ",$87.03 ,,,
35,San Benito,202007,919,,,"2,677","$82,485.87 ",$89.76 ,,,
35,San Benito,202008,916,,,"2,649","$82,768.62 ",$90.36 ,,,
35,San Benito,202009,902,,,"2,586","$83,642.15 ",$92.73 ,,,
35,San Benito,202010,925,,,"2,648","$80,948.36 ",$87.51 ,,,
35,San Benito,202011,910,,,"2,585","$78,104.24 ",$85.83 ,,,
35,San Benito,202012,933,,,"2,617","$78,737.40 ",$84.39 ,,,
36,San Bernardino,2020,"102,109","544,200","$11,892,403.79 ","855,822","$35,180,225.05 ",$461.00 ,,,
36,San Bernardino,202001,"37,389","184,181","$4,008,363.36 ","2,789","$95,788.71 ",$109.77 ,,,
36,San Bernardino,202002,"36,312","160,323","$3,512,226.55 ","13,274","$459,768.25 ",$109.39 ,,,
36,San Bernardino,202003,"35,476","123,171","$2,706,910.54 ","30,498","$1,165,479.65 ",$109.16 ,,,
36,San Bernardino,202004,"35,069","56,721","$1,247,721.41 ","58,440","$2,598,204.23 ",$109.67 ,,,
36,San Bernardino,202005,"35,161","19,804","$417,181.93 ","76,606","$3,328,888.38 ",$106.54 ,,,
36,San Bernardino,202006,"35,850",,,"88,404","$3,798,959.73 ",$105.97 ,,,
36,San Bernardino,202007,"37,591",,,"94,914","$3,936,414.00 ",$104.72 ,,,
36,San Bernardino,202008,"38,634",,,"97,396","$3,981,585.95 ",$103.06 ,,,
36,San Bernardino,202009,"38,243",,,"95,986","$3,901,639.06 ",$102.02 ,,,
36,San Bernardino,202010,"39,402",,,"99,671","$3,969,410.44 ",$100.74 ,,,
36,San Bernardino,202011,"39,542",,,"98,695","$3,950,985.90 ",$99.92 ,,,
36,San Bernardino,202012,"39,840",,,"99,149","$3,993,100.75 ",$100.23 ,,,
37,San Diego,2020,"55,087","3,375","$78,868.89 ","1,208,200","$44,462,722.47 ",$808.57 ,,,
37,San Diego,202001,"33,904","1,198","$26,892.29 ","112,267","$3,662,310.90 ",$108.81 ,,,
37,San Diego,202002,"33,470",950,"$20,502.06 ","106,733","$3,589,203.72 ",$107.85 ,,,
37,San Diego,202003,"34,998",733,"$18,741.25 ","105,701","$3,784,428.32 ",$108.67 ,,,
37,San Diego,202004,"35,542",375,"$9,789.53 ","96,555","$3,766,217.79 ",$106.24 ,,,
37,San Diego,202005,"35,904",119,"$2,943.76 ","96,326","$3,757,277.57 ",$104.73 ,,,
37,San Diego,202006,"36,081",,,"95,855","$3,721,394.62 ",$103.14 ,,,
37,San Diego,202007,"36,618",,,"98,678","$3,720,948.95 ",$101.62 ,,,
37,San Diego,202008,"36,737",,,"100,102","$3,712,383.71 ",$101.05 ,,,
37,San Diego,202009,"36,701",,,"98,214","$3,686,593.09 ",$100.45 ,,,
37,San Diego,202010,"36,818",,,"100,056","$3,682,523.30 ",$100.02 ,,,
37,San Diego,202011,"36,762",,,"98,853","$3,676,636.46 ",$100.01 ,,,
